Date : 2025-04-20 23:09:23
Directory : c:\Users\renren\Desktop\tonoreader\lib
Total : 208 files,  -54159 codes, -2247 comments, -4657 blanks, all -61063 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Properties |          2 |        -10 |          0 |         -2 |        -12 |
| Markdown   |          2 |        -13 |          0 |         -9 |        -22 |
| Dart       |          1 |        -15 |         -1 |         -2 |        -18 |
| YAML       |          2 |        -35 |        -22 |        -11 |        -68 |
| Swift      |          6 |        -59 |         -7 |        -21 |        -87 |
| Groovy     |          3 |        -82 |          0 |        -16 |        -98 |
| XML        |         10 |       -470 |        -53 |        -12 |       -535 |
| HTML       |          2 |       -567 |        -17 |       -119 |       -703 |
| C          |         16 |     -9,760 |       -992 |     -2,112 |    -12,864 |
| C++        |         32 |    -10,108 |     -1,155 |     -2,269 |    -13,532 |
| JSON       |        132 |    -33,040 |          0 |        -84 |    -33,124 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                |        208 |    -54,159 |     -2,247 |     -4,657 |    -61,063 |
| ..                                                                                                                                                               |        208 |    -54,159 |     -2,247 |     -4,657 |    -61,063 |
| .. (Files)                                                                                                                                                       |          3 |        -45 |        -22 |        -18 |        -85 |
| ..\android                                                                                                                                                       |        173 |    -52,826 |     -2,069 |     -4,413 |    -59,308 |
| ..\android (Files)                                                                                                                                               |          3 |        -42 |          0 |         -9 |        -51 |
| ..\android\app                                                                                                                                                   |        168 |    -52,231 |     -2,067 |     -4,289 |    -58,587 |
| ..\android\app (Files)                                                                                                                                           |          1 |        -45 |          0 |         -8 |        -53 |
| ..\android\app\.cxx                                                                                                                                              |        160 |    -52,120 |     -2,016 |     -4,272 |    -58,408 |
| ..\android\app\.cxx\Debug                                                                                                                                        |        120 |    -40,360 |     -1,512 |     -3,204 |    -45,076 |
| ..\android\app\.cxx\Debug\1p5l685v                                                                                                                               |         40 |    -14,300 |       -504 |     -1,068 |    -15,872 |
| ..\android\app\.cxx\Debug\1p5l685v\arm64-v8a                                                                                                                     |         10 |     -3,575 |       -126 |       -267 |     -3,968 |
| ..\android\app\.cxx\Debug\1p5l685v\arm64-v8a (Files)                                                                                                             |          3 |        -52 |          0 |          0 |        -52 |
| ..\android\app\.cxx\Debug\1p5l685v\arm64-v8a\.cmake                                                                                                              |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\arm64-v8a\.cmake\api                                                                                                          |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\arm64-v8a\.cmake\api\v1                                                                                                       |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\arm64-v8a\.cmake\api\v1\reply                                                                                                 |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\arm64-v8a\CMakeFiles                                                                                                          |          2 |     -1,208 |       -126 |       -262 |     -1,596 |
| ..\android\app\.cxx\Debug\1p5l685v\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty                                                                                    |          2 |     -1,208 |       -126 |       -262 |     -1,596 |
| ..\android\app\.cxx\Debug\1p5l685v\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                        |          1 |       -610 |        -62 |       -132 |       -804 |
| ..\android\app\.cxx\Debug\1p5l685v\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                      |          1 |       -598 |        -64 |       -130 |       -792 |
| ..\android\app\.cxx\Debug\1p5l685v\armeabi-v7a                                                                                                                   |         10 |     -3,575 |       -126 |       -267 |     -3,968 |
| ..\android\app\.cxx\Debug\1p5l685v\armeabi-v7a (Files)                                                                                                           |          3 |        -52 |          0 |          0 |        -52 |
| ..\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\.cmake                                                                                                            |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\.cmake\api                                                                                                        |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\.cmake\api\v1                                                                                                     |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\.cmake\api\v1\reply                                                                                               |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\CMakeFiles                                                                                                        |          2 |     -1,208 |       -126 |       -262 |     -1,596 |
| ..\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty                                                                                  |          2 |     -1,208 |       -126 |       -262 |     -1,596 |
| ..\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                      |          1 |       -610 |        -62 |       -132 |       -804 |
| ..\android\app\.cxx\Debug\1p5l685v\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                    |          1 |       -598 |        -64 |       -130 |       -792 |
| ..\android\app\.cxx\Debug\1p5l685v\x86                                                                                                                           |         10 |     -3,575 |       -126 |       -267 |     -3,968 |
| ..\android\app\.cxx\Debug\1p5l685v\x86 (Files)                                                                                                                   |          3 |        -52 |          0 |          0 |        -52 |
| ..\android\app\.cxx\Debug\1p5l685v\x86\.cmake                                                                                                                    |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\x86\.cmake\api                                                                                                                |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\x86\.cmake\api\v1                                                                                                             |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\x86\.cmake\api\v1\reply                                                                                                       |          5 |     -2,315 |          0 |         -5 |     -2,320 |
| ..\android\app\.cxx\Debug\1p5l685v\x86\CMakeFiles                                                                                                                |          2 |     -1,208 |       -126 |       -262 |     -1,596 |
| ..\android\app\.cxx\Debug\1p5l685v\x86\CMakeFiles\3.22.1-g37088a8-dirty                                                                                          |          2 |     -1,208 |       -126 |       -262 |     -1,596 |
| ..\android\app\.cxx\Debug\1p5l685v\x86\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC                                                                              |          1 |       -610 |        -62 |       -132 |       -804 |
| ..\android\app\.cxx\Debug\1p5l685v\x86\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX                                                                            |          1 |       -598 |        -64 |       -130 |       -792 |
| ..\android\app\.cxx\Debug\1p5l685v\x86_64                                                                                                                        |         10 |     -3,575 |       -126 |       -267 |     -3,968 |
