Date : 2025-04-29 23:07:49
Directory : c:\Users\renren\Desktop\tonoreader\lib
Total : 73 files,  2452 codes, 558 comments, 369 blanks, all 3379 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         73 |      2,452 |        558 |        369 |      3,379 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         73 |      2,452 |        558 |        369 |      3,379 |
| pages                                                                                                |          1 |          1 |          0 |          0 |          1 |
| pages\index                                                                                          |          1 |          1 |          0 |          0 |          1 |
| pages\index\user                                                                                     |          1 |          1 |          0 |          0 |          1 |
| tono_reader                                                                                          |         72 |      2,451 |        558 |        369 |      3,378 |
| tono_reader (Files)                                                                                  |          2 |         41 |          0 |          1 |         42 |
| tono_reader\model                                                                                    |          4 |         59 |          0 |          8 |         67 |
| tono_reader\model\base                                                                               |          3 |         45 |          0 |          7 |         52 |
| tono_reader\model\event                                                                              |          1 |         14 |          0 |          1 |         15 |
| tono_reader\parser                                                                                   |          4 |         -1 |          0 |          4 |          3 |
| tono_reader\parser (Files)                                                                           |          2 |         12 |          0 |          4 |         16 |
| tono_reader\parser\widget_parser                                                                     |          2 |        -13 |          0 |          0 |        -13 |
| tono_reader\render                                                                                   |         30 |        107 |          1 |         38 |        146 |
| tono_reader\render\content                                                                           |          1 |        -58 |          0 |         -6 |        -64 |
| tono_reader\render\css_impl                                                                          |          2 |         63 |         -1 |          1 |         63 |
| tono_reader\render\css_parse                                                                         |         10 |        126 |          2 |         24 |        152 |
| tono_reader\render\state                                                                             |          8 |         45 |          0 |         33 |         78 |
| tono_reader\render\widget                                                                            |          9 |        -69 |          0 |        -14 |        -83 |
| tono_reader\render\widget (Files)                                                                    |          4 |        -52 |          0 |        -11 |        -63 |
| tono_reader\render\widget\inline                                                                     |          5 |        -17 |          0 |         -3 |        -20 |
| tono_reader\state                                                                                    |          6 |         83 |          0 |          8 |         91 |
| tono_reader\tool                                                                                     |         16 |      1,967 |        556 |        294 |      2,817 |
| tono_reader\tool (Files)                                                                             |          4 |        183 |        -12 |         13 |        184 |
| tono_reader\tool\scroll                                                                              |         12 |      1,784 |        568 |        281 |      2,633 |
| tono_reader\tool\scroll (Files)                                                                      |          1 |          3 |          3 |          2 |          8 |
| tono_reader\tool\scroll\src                                                                          |         11 |      1,781 |        565 |        279 |      2,625 |
| tono_reader\ui                                                                                       |         10 |        195 |          1 |         16 |        212 |
| tono_reader\ui\default                                                                               |         10 |        195 |          1 |         16 |        212 |
| tono_reader\ui\default (Files)                                                                       |          8 |        163 |          1 |         13 |        177 |
| tono_reader\ui\default\comps                                                                         |          2 |         32 |          0 |          3 |         35 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\renren\Desktop\tonoreader\lib\pages\index\user\view.dart                                    | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\controller.dart                                   | Dart     |         21 |          0 |          2 |         23 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\base\tono.dart                              | Dart     |         -1 |          0 |         -1 |         -2 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\base\tono_location.dart                     | Dart     |         25 |          0 |          5 |         30 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\base\tono_note.dart                         | Dart     |         21 |          0 |          3 |         24 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\model\event\tono_comment.dart                     | Dart     |         14 |          0 |          1 |         15 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_event_parser.dart                     | Dart     |          4 |          0 |          2 |          6 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\tono_selector_macher.dart                  | Dart     |          8 |          0 |          2 |         10 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\widget_parser\container_parser.dart        | Dart     |          7 |          0 |          0 |          7 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\parser\widget_parser\ruby_parser.dart             | Dart     |        -20 |          0 |          0 |        -20 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\content\tono_image_widget.dart             | Dart     |        -58 |          0 |         -6 |        -64 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_impl\tono_css_display_widget.dart      | Dart     |         39 |          1 |          2 |         42 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_impl\tono_css_size_padding_widget.dart | Dart     |         24 |         -2 |         -1 |         21 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_color.dart              | Dart     |          7 |          0 |          3 |         10 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_converter.dart          | Dart     |         26 |          2 |          9 |         37 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_display.dart            | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_font_family.dart        | Dart     |         13 |          0 |          2 |         15 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_font_weight.dart        | Dart     |         31 |          0 |          3 |         34 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_height.dart             | Dart     |         -3 |          0 |          0 |         -3 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_line_height.dart        | Dart     |         19 |          0 |          2 |         21 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_text_indent.dart        | Dart     |         14 |          0 |          2 |         16 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_text_shadow.dart        | Dart     |         16 |          0 |          3 |         19 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\css_parse\tono_css_width.dart              | Dart     |          2 |          0 |          0 |          2 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_container_provider.dart         | Dart     |         11 |          0 |          2 |         13 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_container_state.dart            | Dart     |        -63 |          0 |         -3 |        -66 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_css_provider.dart               | Dart     |        -45 |          0 |         -6 |        -51 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_inline_state_provider.dart      | Dart     |         34 |          0 |          9 |         43 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_interaction_provider.dart       | Dart     |         30 |          0 |          8 |         38 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_layout_provider.dart            | Dart     |         33 |          0 |          9 |         42 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_location_provider.dart          | Dart     |         31 |          0 |          8 |         39 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\state\tono_parent_size_cache.dart          | Dart     |         14 |          0 |          6 |         20 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\inline\tono_container_render.dart   | Dart     |        -13 |          0 |          0 |        -13 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\inline\tono_image_render.dart       | Dart     |         45 |          0 |          4 |         49 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\inline\tono_inline_render.dart      | Dart     |         -1 |          0 |         -1 |         -2 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\inline\tono_ruby_render.dart        | Dart     |         53 |          0 |          2 |         55 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\inline\tono_text_render.dart        | Dart     |       -101 |          0 |         -8 |       -109 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\tono_container_widget.dart          | Dart     |         17 |          0 |          1 |         18 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\tono_inline_container_widget.dart   | Dart     |         -6 |          0 |          0 |         -6 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\tono_outer_widget.dart              | Dart     |         67 |          0 |          0 |         67 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\render\widget\tono_ruby_widget.dart               | Dart     |       -130 |          0 |        -12 |       -142 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_assets_provider.dart                   | Dart     |          6 |          0 |          0 |          6 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_data_provider.dart                     | Dart     |         36 |          0 |          3 |         39 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_flager.dart                            | Dart     |         -2 |          0 |          0 |         -2 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_initializer.dart                       | Dart     |          5 |          0 |          1 |          6 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_progresser.dart                        | Dart     |         -4 |          0 |         -1 |         -5 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\state\tono_user_data_provider.dart                | Dart     |         42 |          0 |          5 |         47 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\async_memory_image.dart                      | Dart     |        -23 |         -5 |         -2 |        -30 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\scrollable_positioned_list.dart       | Dart     |          3 |          3 |          2 |          8 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\element_registry.dart             | Dart     |         63 |         14 |         19 |         96 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\item_positions_listener.dart      | Dart     |         31 |         20 |         12 |         63 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\item_positions_notifier.dart      | Dart     |          6 |          4 |          4 |         14 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\positioned_list.dart              | Dart     |        267 |         63 |         37 |        367 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\post_mount_callback.dart          | Dart     |         20 |          7 |          9 |         36 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\scroll_offset_listener.dart       | Dart     |          9 |          9 |          4 |         22 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\scroll_offset_notifier.dart       | Dart     |         13 |          0 |          8 |         21 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\scroll_view.dart                  | Dart     |         57 |          8 |          8 |         73 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\scrollable_positioned_list.dart   | Dart     |        462 |        140 |         66 |        668 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\viewport.dart                     | Dart     |        234 |         34 |         30 |        298 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\scroll\src\wrapping.dart                     | Dart     |        619 |        266 |         82 |        967 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\styled_border.dart                           | Dart     |        133 |         -7 |          9 |        135 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\tono_container_stringify.dart                | Dart     |         24 |          0 |          2 |         26 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\tool\tono_container_tool.dart                     | Dart     |         49 |          0 |          4 |         53 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\ui\default\bottom_bar_view.dart                   | Dart     |          3 |          0 |          0 |          3 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\ui\default\comps\marker.dart                      | Dart     |          1 |          0 |          1 |          2 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\ui\default\comps\title_divline.dart               | Dart     |         31 |          0 |          2 |         33 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\ui\default\content_view.dart                      | Dart     |         -1 |          0 |          0 |         -1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\ui\default\op_dialog_view.dart                    | Dart     |         95 |          0 |          4 |         99 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\ui\default\pic_dialog_view.dart                   | Dart     |          8 |          0 |          3 |         11 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\ui\default\side_bar_view.dart                     | Dart     |         36 |          1 |          3 |         40 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\ui\default\slide_content_view.dart                | Dart     |          6 |          0 |          0 |          6 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\ui\default\top_bar_view.dart                      | Dart     |         -1 |          0 |          0 |         -1 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\ui\default\water_mark.dart                        | Dart     |         17 |          0 |          3 |         20 |
| c:\Users\renren\Desktop\tonoreader\lib\tono_reader\view.dart                                         | Dart     |         20 |          0 |         -1 |         19 |
| Total                                                                                                |          |      2,452 |        558 |        369 |      3,379 |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
