Date : 2025-05-11 19:43:04
Directory : c:\Users\renren\Desktop\tonoreader\lib
Total : 225 files,  12054 codes, 911 comments, 1616 blanks, all 14581 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        225 |     12,054 |        911 |      1,616 |     14,581 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        225 |     12,054 |        911 |      1,616 |     14,581 |
| . (Files)                                                                                                    |          1 |         22 |          0 |          4 |         26 |
| api                                                                                                          |          4 |         36 |          0 |          9 |         45 |
| bindings                                                                                                     |          5 |         53 |          0 |         10 |         63 |
| componets                                                                                                    |          3 |        121 |          0 |         16 |        137 |
| controller                                                                                                   |          1 |          2 |          0 |          2 |          4 |
| exception                                                                                                    |          1 |          8 |          0 |          1 |          9 |
| model                                                                                                        |          8 |        481 |         20 |        113 |        614 |
| model (Files)                                                                                                |          7 |        468 |         20 |        108 |        596 |
| model\dao                                                                                                    |          1 |         13 |          0 |          5 |         18 |
| pages                                                                                                        |         35 |      1,595 |         22 |        145 |      1,762 |
| pages\detail                                                                                                 |          9 |        642 |          0 |         40 |        682 |
| pages\detail (Files)                                                                                         |          2 |        181 |          0 |         11 |        192 |
| pages\detail\componets                                                                                       |          7 |        461 |          0 |         29 |        490 |
| pages\index                                                                                                  |         18 |        879 |         22 |         87 |        988 |
| pages\index (Files)                                                                                          |          2 |         35 |          0 |          5 |         40 |
| pages\index\componets                                                                                        |          2 |        218 |         21 |         27 |        266 |
| pages\index\feed                                                                                             |          2 |          8 |          0 |          6 |         14 |
| pages\index\home                                                                                             |          4 |        275 |          0 |         17 |        292 |
| pages\index\home (Files)                                                                                     |          2 |        136 |          0 |          8 |        144 |
| pages\index\home\componets                                                                                   |          2 |        139 |          0 |          9 |        148 |
| pages\index\shelf                                                                                            |          6 |        249 |          0 |         24 |        273 |
| pages\index\shelf (Files)                                                                                    |          2 |         63 |          0 |          6 |         69 |
| pages\index\shelf\subpage                                                                                    |          4 |        186 |          0 |         18 |        204 |
| pages\index\shelf\subpage\collect                                                                            |          1 |         10 |          0 |          3 |         13 |
| pages\index\shelf\subpage\history                                                                            |          1 |          8 |          0 |          3 |         11 |
| pages\index\shelf\subpage\local                                                                              |          2 |        168 |          0 |         12 |        180 |
| pages\index\user                                                                                             |          2 |         94 |          1 |          8 |        103 |
| pages\login                                                                                                  |          2 |          8 |          0 |          4 |         12 |
| pages\reader                                                                                                 |          2 |         20 |          0 |          5 |         25 |
| pages\search_pre                                                                                             |          2 |         12 |          0 |          5 |         17 |
| pages\test                                                                                                   |          2 |         34 |          0 |          4 |         38 |
| repo                                                                                                         |          3 |        207 |         14 |         44 |        265 |
| routes                                                                                                       |          1 |         36 |          0 |          2 |         38 |
| tono_reader                                                                                                  |        161 |      9,434 |        853 |      1,261 |     11,548 |
| tono_reader (Files)                                                                                          |          3 |        258 |         12 |         41 |        311 |
| tono_reader\data_provider                                                                                    |          3 |         62 |          2 |         16 |         80 |
| tono_reader\model                                                                                            |         29 |        468 |         19 |         94 |        581 |
| tono_reader\model (Files)                                                                                    |          1 |         13 |          8 |          6 |         27 |
| tono_reader\model\base                                                                                       |          5 |        162 |          5 |         28 |        195 |
| tono_reader\model\event                                                                                      |          1 |         14 |          0 |          1 |         15 |
| tono_reader\model\parser                                                                                     |          5 |         68 |          0 |         11 |         79 |
| tono_reader\model\style                                                                                      |         11 |         27 |          4 |         18 |         49 |
| tono_reader\model\widget                                                                                     |          6 |        184 |          2 |         30 |        216 |
| tono_reader\parser                                                                                           |         14 |      1,212 |         62 |        122 |      1,396 |
| tono_reader\parser (Files)                                                                                   |         10 |        986 |         57 |        101 |      1,144 |
| tono_reader\parser\widget_parser                                                                             |          4 |        226 |          5 |         21 |        252 |
| tono_reader\render                                                                                           |         45 |      1,841 |        118 |        261 |      2,220 |
| tono_reader\render\css_impl                                                                                  |          6 |        267 |         24 |         28 |        319 |
| tono_reader\render\css_parse                                                                                 |         25 |        846 |         86 |        141 |      1,073 |
| tono_reader\render\state                                                                                     |          6 |        196 |          0 |         50 |        246 |
| tono_reader\render\widget                                                                                    |          8 |        532 |          8 |         42 |        582 |
| tono_reader\render\widget (Files)                                                                            |          3 |        305 |          8 |         20 |        333 |
| tono_reader\render\widget\inline                                                                             |          5 |        227 |          0 |         22 |        249 |
| tono_reader\state                                                                                            |          9 |        311 |          1 |         53 |        365 |
| tono_reader\tool                                                                                             |         37 |      4,134 |        634 |        587 |      5,355 |
| tono_reader\tool (Files)                                                                                     |         25 |      2,355 |         66 |        306 |      2,727 |
| tono_reader\tool\scroll                                                                                      |         12 |      1,779 |        568 |        281 |      2,628 |
| tono_reader\tool\scroll (Files)                                                                              |          1 |          3 |          3 |          2 |          8 |
| tono_reader\tool\scroll\src                                                                                  |         11 |      1,776 |        565 |        279 |      2,620 |
| tono_reader\ui                                                                                               |         19 |        996 |          0 |         66 |      1,062 |
| tono_reader\ui\default                                                                                       |         19 |        996 |          0 |         66 |      1,062 |
| tono_reader\ui\default (Files)                                                                               |          3 |        249 |          0 |         10 |        259 |
| tono_reader\ui\default\comps                                                                                 |         16 |        747 |          0 |         56 |        803 |
| tono_reader\ui\default\comps (Files)                                                                         |          8 |        325 |          0 |         25 |        350 |
| tono_reader\ui\default\comps\dialog                                                                          |          2 |        149 |          0 |          8 |        157 |
| tono_reader\ui\default\comps\drawers                                                                         |          3 |        123 |          0 |         10 |        133 |
| tono_reader\ui\default\comps\text_setting                                                                    |          3 |        150 |          0 |         13 |        163 |
| tono_reader\widget_provider                                                                                  |          2 |        152 |          5 |         21 |        178 |
| utils                                                                                                        |          2 |         59 |          2 |          9 |         70 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                     | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\renren\Desktop\tonoreader\lib\api\book_api.dart                                                     | Dart     |         13 |          0 |          2 |         15 |
| c:\Users\renren\Desktop\tonoreader\lib\api\history_api.dart                                                  | Dart     |          2 |          0 |          2 |          4 |
| c:\Users\renren\Desktop\tonoreader\lib\api\home_api.dart                                                     | Dart     |         13 |          0 |          2 |         15 |
| c:\Users\renren\Desktop\tonoreader\lib\api\index.dart                                                        | Dart     |          8 |          0 |          3 |         11 |
| c:\Users\renren\Desktop\tonoreader\lib\bindings\book_detail_binding.dart                                     | Dart     |          8 |          0 |          2 |         10 |
| c:\Users\renren\Desktop\tonoreader\lib\bindings\default_binding.dart                                         | Dart     |         15 |          0 |          2 |         17 |
| c:\Users\renren\Desktop\tonoreader\lib\bindings\index_binding.dart                                           | Dart     |         14 |          0 |          2 |         16 |
| c:\Users\renren\Desktop\tonoreader\lib\bindings\reader_binding.dart                                          | Dart     |          8 |          0 |          2 |         10 |
| c:\Users\renren\Desktop\tonoreader\lib\bindings\search_pre_binding.dart                                      | Dart     |          8 |          0 |          2 |         10 |
| c:\Users\renren\Desktop\tonoreader\lib\componets\book_cover.dart                                             | Dart     |         43 |          0 |          4 |         47 |
| c:\Users\renren\Desktop\tonoreader\lib\componets\expan_box.dart                                              | Dart     |         59 |          0 |         10 |         69 |
| c:\Users\renren\Desktop\tonoreader\lib\componets\loading_block.dart                                          | Dart     |         19 |          0 |          2 |         21 |
| c:\Users\renren\Desktop\tonoreader\lib\controller\user_info_controller.dart                                  | Dart     |          2 |          0 |          2 |          4 |
| c:\Users\renren\Desktop\tonoreader\lib\exception\book_load_exception.dart                                    | Dart     |          8 |          0 |          1 |          9 |
| c:\Users\renren\Desktop\tonoreader\lib\main.dart                                                             | Dart     |         22 |          0 |          4 |         26 |
| c:\Users\renren\Desktop\tonoreader\lib\model\book_block.dart                                                 | Dart     |         22 |          0 |          2 |         24 |
| c:\Users\renren\Desktop\tonoreader\lib\model\book_detail.dart                                                | Dart     |        334 |         20 |         92 |        446 |
| c:\Users\renren\Desktop\tonoreader\lib\model\book_info.dart                                                  | Dart     |         22 |          0 |          2 |         24 |
| c:\Users\renren\Desktop\tonoreader\lib\model\book_reader.dart                                                | Dart     |         10 |          0 |          1 |         11 |
| c:\Users\renren\Desktop\tonoreader\lib\model\book_reader_info.dart                                           | Dart     |         24 |          0 |          4 |         28 |
| c:\Users\renren\Desktop\tonoreader\lib\model\dao\book_reader_info_dao.dart                                   | Dart     |         13 |          0 |          5 |         18 |
| c:\Users\renren\Desktop\tonoreader\lib\model\tono_book_mark.dart                                             | Dart     |         26 |          0 |          4 |         30 |
| c:\Users\renren\Desktop\tonoreader\lib\model\tono_book_note.dart                                             | Dart     |         30 |          0 |          3 |         33 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\detail\componets\detail_about.dart                              | Dart     |        110 |          0 |          4 |        114 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\detail\componets\detail_action.dart                             | Dart     |         37 |          0 |          5 |         42 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\detail\componets\detail_btn.dart                                | Dart     |         49 |          0 |          3 |         52 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\detail\componets\detail_chapter.dart                            | Dart     |         96 |          0 |          4 |        100 |
| c:\Users\renren\Desktop\tonoreader\lib\pages\detail\componets\detail_head.dart                               | Dart     |         58 |          0 |          4 |         62 |
